Model Name,DS-8814
File Version,6
Acquisition Time, 2015-04-27 20:11:38
Time/div(second),+2.00000E-03
Delay(second),+0.00000E+00
Delta(second),+20.0000E-06
Trigger Address,524
Ch1 Trace,On
Ch2 Trace,On
Ch3 Trace,On
Ch4 Trace,Off
Ch1 Volts/div,+5.00000E-03
Ch2 Volts/div,+10.0000E-03
Ch3 Volts/div,+5.00000E-03
Ch4 Volts/div,+2.00000E-03
Ch1 Offset(volts),+1.00000E-03
Ch2 Offset(volts),+14.8000E-03
Ch3 Offset(volts),-9.40000E-03
Ch4 Offset(volts),-6.20000E-03
Points,1024
Ch1 Volt,Ch2 Volt,Ch3 Volt,Ch4 Volt
+800.000E-06,+400.000E-06,-600.000E-06,
-800.000E-06,+0.00000E+00,-600.000E-06,
+0.00000E+00,+400.000E-06,-600.000E-06,
+0.00000E+00,+400.000E-06,-400.000E-06,
+0.00000E+00,+400.000E-06,-400.000E-06,
+0.00000E+00,+400.000E-06,-400.000E-06,
+0.00000E+00,+400.000E-06,-400.000E-06,
+0.00000E+00,+400.000E-06,-600.000E-06,
+800.000E-06,+400.000E-06,-400.000E-06,
+1.60000E-03,+400.000E-06,-600.000E-06,
+0.00000E+00,+0.00000E+00,-400.000E-06,
+0.00000E+00,+400.000E-06,-400.000E-06,
+0.00000E+00,+0.00000E+00,-400.000E-06,
+0.00000E+00,+0.00000E+00,-400.000E-06,
+800.000E-06,+0.00000E+00,-600.000E-06,
+0.00000E+00,+400.000E-06,-600.000E-06,
+0.00000E+00,+400.000E-06,-600.000E-06,
+0.00000E+00,+400.000E-06,-400.000E-06,
+0.00000E+00,+400.000E-06,-400.000E-06,
+0.00000E+00,+400.000E-06,-600.000E-06,
+0.00000E+00,+0.00000E+00,-600.000E-06,
+0.00000E+00,+0.00000E+00,-600.000E-06,
+0.00000E+00,+400.000E-06,-600.000E-06,
-800.000E-06,+0.00000E+00,-600.000E-06,
+0.00000E+00,+400.000E-06,-400.000E-06,
+0.00000E+00,+400.000E-06,-400.000E-06,
+0.00000E+00,+400.000E-06,-600.000E-06,
-800.000E-06,+0.00000E+00,-600.000E-06,
-800.000E-06,+0.00000E+00,-600.000E-06,
-800.000E-06,+400.000E-06,-600.000E-06,
-800.000E-06,+400.000E-06,-600.000E-06,
-800.000E-06,+400.000E-06,-400.000E-06,
-800.000E-06,+400.000E-06,-400.000E-06,
+0.00000E+00,+400.000E-06,-600.000E-06,
+0.00000E+00,+400.000E-06,-400.000E-06,
-800.000E-06,+400.000E-06,-600.000E-06,
+0.00000E+00,+400.000E-06,-600.000E-06,
-800.000E-06,+400.000E-06,-600.000E-06,
-800.000E-06,+400.000E-06,-400.000E-06,
+0.00000E+00,+400.000E-06,-400.000E-06,
-800.000E-06,+0.00000E+00,-400.000E-06,
-800.000E-06,+0.00000E+00,-600.000E-06,
-800.000E-06,+400.000E-06,-600.000E-06,
-800.000E-06,+400.000E-06,-600.000E-06,
-800.000E-06,+400.000E-06,-400.000E-06,
-800.000E-06,+400.000E-06,-400.000E-06,
-800.000E-06,+400.000E-06,-400.000E-06,
-800.000E-06,+400.000E-06,-600.000E-06,
-800.000E-06,+0.00000E+00,-600.000E-06,
-800.000E-06,+0.00000E+00,-600.000E-06,
-800.000E-06,+400.000E-06,-400.000E-06,
-1.60000E-03,+400.000E-06,-400.000E-06,
-1.60000E-03,+400.000E-06,-600.000E-06,
-1.60000E-03,+400.000E-06,-400.000E-06,
-1.60000E-03,+0.00000E+00,-600.000E-06,
-1.60000E-03,+400.000E-06,-600.000E-06,
-800.000E-06,+400.000E-06,-400.000E-06,
-800.000E-06,+400.000E-06,-400.000E-06,
-800.000E-06,+400.000E-06,-400.000E-06,
-800.000E-06,+400.000E-06,-400.000E-06,
-800.000E-06,+400.000E-06,-400.000E-06,
+800.000E-06,+400.000E-06,-800.000E-06,
-800.000E-06,+0.00000E+00,-400.000E-06,
